,Asset-backed securities purchase programme,Covered bond purchase programme 3,Corporate Sector purchase programme,Public sector purchase programme,Total
2014-Q4,1744,29686,0,0,31430
2015-Q1,2877,34163,0,47383,84423
2015-Q2,4173,31718,0,150765,186656
2015-Q3,4219,26575,0,145193,175987
2015-Q4,2309,22665,0,151589,176563
2016-Q1,3667,22800,0,159373,185840
2016-Q2,594,18269,6401,230244,255508
2016-Q3,1087,11493,23395,190135,226110
2016-Q4,2159,9799,21500,198151,231609
2017-Q1,1365,11497,24581,208384,245827
