,Asset-backed securities purchase programme,Covered bond purchase programme 3,Corporate Sector purchase programme,Public sector purchase programme,Total,,,,
2014-Q4,1744,29632,0,0,31376,,,2014,Q4
2015-Q1,2877,33973,0,47356,84206,,,2015,Q1
2015-Q2,4174,31392,0,150173,185739,,,2015,Q2
2015-Q3,4219,26153,0,143932,174304,,,2015,Q3
2015-Q4,2308,22189,0,149753,174250,,,2015,Q4
2016-Q1,3668,22297,0,156808,182773,,,2016,Q1
2016-Q2,594,17739,6398,227180,251911,,,2016,Q2
2016-Q3,1087,10927,23323,186042,221379,,,2016,Q3
2016-Q4,2158,9211,21348,193391,226108,,,2016,Q4
2017-Q1,1360,10930,24386,203017,239693,,,2017,Q1
2017-Q2,-54,8184,21165,151675,180970,,,2017,Q2
